k, NA;
kaolinise, t;
kaolinised, t;
kaolinising, t;
kaolinite, N;
kaolinization, N;
kaolinize, t;
kaolinized, t;
kaolinizing, t;
kaon, N;
kapellmeister, N;
kaph, N;
kapok, N;
kapok oil, h;
kaposi's sarcoma, |h;
kapote, N;
kappa, N;
kappa meson, h;
kappa-meson, |N;
kapsiki, |N;
kapuka, N;
kaput, NA;
karabiner, N;
karaburan, N;
karachi, |N;
karakalpak, |N;
karakoram, |N;
karakoram range, |h;
karakorum range, |h;
karakul, N;
karanda, N;
karat, N;
karate, N;
karaya gum, |h;
karelia, |N;
karelian, |N;
karen, |N;
karenic, |N;
karl marx, |h;
karl rudolf gerd von rundstedt, |h;
karma, N;
karma-marga, N;
karmadharaya, N;
karmic, A;
karo, N;
karok, |N;
karoo, N;
karos, p;
kaross, N;
karpas, N;
karri, N;
karrusel, N;
karst, N;
karstic, A;
kart, N;
kartik, |N;
kartikeya, |N;
karttikeya, |N;
karuna, N;
karyogamic, A;
karyogamy, N;
karyokinesis, N;
karyokinetic, A;
karyolitic, A;
karyolymph, N;
karyolysis, N;
karyomitome, N;
karyoplasm, N;
karyoplasmatic, A;
karyoplasmic, A;
karyosome, N;
karyotin, N;
karyotype, N;
karyotypic, A;
karyotypical, A;
kas, N;
kasbah, N;
kasha, N;
kasher, N;
kashgar tamarisk, h;
kashira, N;
kashmir, N;
kashmir goat, |h;
kashmiri, |NA;
kashruth, N;
kassite, |N;
kat, N;
katabases, p;
katabasis, N;
katabatic, A;
katabolic, A;
katabolically, v;
katabolism, N;
katakana, N;
katalase, N;
katalyses, p;
katalysis, N;
katalyst, N;
katalyze, t;
katalyzed, t;
katalyzer, N;
katalyzing, t;
katamorphic, A;
katamorphism, N;
katana, p;
kataplasia, N;
katar, |N;
katari, |NA;
katatonia, N;
katatonic, A;
katcina, N;
katcr, N;
katharevusa, |N;
katharobe, |N;
katharobic, |A;
katharometer, |N;
katharsis, N;
kathartic, A;
kathisma, N;
kathismata, p;
kathmandu, |N;
kathode, N;
kathodic, A;
katholikoi, p;
katholikos, N;
katholikoses, p;
kation, N;
katmandu, |N;
katsura tree, |h;
katsuwonidae, |N;
katsuwonus, |N;
katsuwonus pelamis, |h;
katydid, N;
katzenjammer, N;
kauai, |N;
kauai island, |h;
kauch, N;
kaunas, |N;
kauri, N;
kauri copal, |h;
kauri gum, |h;
kauri pine, |h;
kauri resin, h;
kauries, p;
kauris, p;
kaury, N;
kava, N;
kavakava, |N;
kaver, N;
kaw river, |h;
kawaka, |N;
kayak, NV;
kayo, NV;
kayoed, |A;
kazachki, p;
kazachok, N;
kazak, |N;
kazakh, |N;
kazakhstan, |N;
kazakstan, |N;
kazan, |N;
kazatskies, p;
kazatsky, N;
kazoo, N;
kazoos, p;
kb, N;
kc, N;
kc/s, h;
kcal, N;
ke amiss, |V;
keV, N;
kea, N;
keap, tN;
keat, N;
keb, |N;
kebab, N;
kebar, N;
kebbuck, N;
keblah, N;
keck, iN;
keckling, N;
kecksies, p;
kecksy, N;
ked, N;
keddah, N;
kedge, VN;
kedged, V;
kedgeree, N;
kedging, V;
keef, N;
keek, NV;
keel, NV;
keel arch, h;
keel batten, h;
keel over, Vi;
keel rail, h;
keel vessel, h;
keelage, N;
keelboat, N;
keelboatman, N;
keelboatmen, p;
keeled, |A;
keeled garlic, |h;
keelhaul, t;
keelless, A;
keelson, N;
keen, AVN;
keen-sighted, |A;
keener, N;
keening, N;
keenly, v;
keenness, N;
keep, VtN;
keep abreast, |V;
keep an eye on, |V;
keep apart, |V;
keep at, Vt;
keep away, V;
keep back, V;
keep company, |V;
keep down, Vi;
keep from, Vt;
keep going, |V;
keep guard, |V;
keep in, Vt;
keep mum, |V;
keep note, |V;
keep off, Vi;
keep on, Vti;
keep one's eyes open, |V;
keep one's eyes peeled, |V;
keep one's eyes skinned, |V;
keep open, |V;
keep out, V;
keep step, |V;
keep to, V;
keep to oneself, |V;
keep under, Vt;
keep up, Vit;
keep waiting, |V;
keepable, A;
keeper, N;
keeper hook, h;
keeper ring, h;
keeperless, A;
keepership, N;
keeping, N;
keeping room, h;
keepnet, N;
keepsake, N;
keeshond, N;
keeshonden, p;
keet, N;
kef, N;
keffiyeh, N;
keflex, |N;
keftab, |N;
keg, N;
kegful, |N;
kegler, N;
kehillah, N;
kehilloth, p;
kei apple, |h;
kei apple bush, |h;
kei-apple, N;
keir, N;
keister, N;
keitloa, N;
kekchi, |N;
kekule formula, |h;
kelebe, N;
kelek, N;
kelep, N;
kelia, p;
kelleg, N;
kellet, N;
kellies, p;
kellion, N;
kelly, N;
kelly green, h;
kellys, p;
keloid, N;
keloidal, A;
kelotomies, p;
kelotomy, N;
kelp, N;
kelp crab, h;
kelp greenling, h;
kelpfish, N;
kelpie, N;
kelpies, p;
kelpwort, |N;
kelpy, N;
kelson, N;
kelt, N;
kelter, N;
kelvin, N;
kemp, Ni;
kempt, A;
kempy, A;
ken, NV;
kenaf, N;
kench, N;
kendal green, |h;
kendall partial rank correlation, |h;
kendall rank correlation, |h;
kendall test, |h;
kendall's tau, |h;
kendo, N;
kendoist, N;
kennedia, |N;
kennedia coccinea, |h;
kennedia prostrata, |h;
kennedy, |N;
kennedya, |N;
kennel, NV;
kennel club, h;
kenneled, V;
kenneling, V;
kennelled, V;
kennelling, V;
kennelly-heaviside layer, |h;
kennesaw mountain, |h;
kenning, N;
keno, N;
kenogenesis, N;
kenogenetic, A;
kenogenetically, v;
kenosis, N;
kenotic, A;
kenspeckle, A;
kent, VN;
kentan, |N;
kente, N;
kentish, |N;
kentledge, N;
kentuckian, |N;
kentucky, |N;
kentucky black bass, |h;
kentucky blue, |h;
kentucky bluegrass, |h;
kentucky coffee tree, |h;
kentucky derby, |h;
kentucky wonder, |h;
kentucky wonder bean, |h;
kentucky yellowwood, |h;
kentucy blue grass, |h;
kenya, |N;
kenya fever, |h;
kenyan, |NA;
kenyan monetary unit, |h;
kenyan shilling, |h;
kenyapithecus, |N;
kep, t;
kepi, N;
kepis, p;
kepler, |N;
kepler's first law, |h;
kepler's law, |h;
kepler's law of planetary motion, |h;
kepler's second law, |h;
kepler's third law, |h;
keppen, V;
kept, VA;
kept up, |A;
kept woman, |h;
kera, |N;
keramic, A;
keramics, N;
keratalgia, N;
keratectasia, N;
keratectomies, p;
keratectomy, N;
keratin, N;
keratinization, N;
keratinize, V;
keratinized, ti;
keratinizing, ti;
keratinous, A;
keratitis, N;
keratocni, p;
keratoconus, N;
keratode, N;
keratoderma, N;
keratogenous, A;
keratoid, A;
keratoiritis, |N;
keratoma, N;
keratomas, p;
keratomata, p;
keratometer, N;
keratometric, A;
keratometry, N;
keratoplastic, A;
keratoplasties, p;
keratoplasty, N;
keratoscleritis, |N;
keratoscope, N;
keratoscopy, N;
keratose, A;
keratoses, p;
keratosic, A;
keratosis, N;
keratosis follicularis, |h;
keratotic, A;
keratotomies, p;
keratotomy, N;
kerb, Nt;
kerb drill, h;
kerb market, h;
kerb weight, h;
kerbaya, N;
kerbing, N;
kerbstone, N;
kerchief, N;
kerchiefed, A;
kerchieft, A;
kerf, N;
kerflop, v;
kerfuffle, Nt;
kermes, N;
kermesite, N;
kermis, N;
kern, Nt;
kernel, NV;
kernel smut, h;
kerneled, V;
kerneling, V;
kernelled, V;
kernelless, A;
kernelling, V;
kernelly, A;
kernicterus, |N;
kernite, N;
kernoi, p;
kernos, N;
kero, N;
kerogen, N;
keros, p;
kerosene, N;
kerosene heater, |h;
kerosene lamp, |h;
kerosine, |N;
kerosine heater, |h;
kerosine lamp, |h;
kerplunk, v;
kerr cell, |h;
kerries, p;
kerry, N;
kerry blue terrier, |h;
kersey, N;
kerseymere, N;
kerseys, p;
kerugma, |N;
kerygma, N;
kerygmata, p;
kerygmatic, A;
kestrel, N;
ketch, N;
ketch-rigged, A;
ketchup, N;
ketchup bottle, |h;
keteleeria, |N;
ketembilla, |N;
ketembilla tree, |h;
ketene, N;
keto, A;
keto form, h;
keto-enol tautomerism, h;
ketoacidosis, |N;
ketoacidosis prone diabetes, |h;
ketoaciduria, |N;
ketogenesis, N;
ketogenetic, A;
ketohexose, N;
ketolyses, p;
ketolysis, N;
ketolytic, A;
ketone, N;
ketone body, h;
ketone group, h;
ketonemia, N;
ketonic, A;
ketonuria, N;
ketoprofen, |N;
ketorolac, |N;
ketorolac tromethamine, |h;
ketose, N;
ketosis, N;
ketoxime, N;
kettle, N;
kettle base, h;
kettle hat, h;
kettle hole, h;
kettle of fish, h;
kettle stitch, h;
kettle-bottom, A;
kettledrum, N;
kettledrummer, N;
kettleful, |N;
ketubah, N;
ketuboth, p;
keurboom, |N;
kevalin, N;
kevel, N;
kewpie, N;
kewpie doll, h;
kex, N;
key, NtVA;
key case, h;
key club, h;
key fruit, h;
key lime, |h;
key money, h;
key out, |V;
key palm, |h;
key plate, h;
key punch, hV;
key ring, h;
key scarf, h;
key signature, h;
key station, h;
key up, t;
key word, h;
keyboard, Nt;
keyboard buffer, |h;
keyed, A;
keyhole, N;
keyhole limpet, |h;
keyhole saw, h;
keyless, A;
keyman, N;
keyman insurance, h;
keymen, p;
keynes, |N;
keynesian, |A;
keynesianism, |N;
keynote, NtV;
keynote address, h;
keynote speech, |h;
keynoted, V;
keynoter, N;
keynoting, V;
keypunch, t;
keypuncher, N;
keys, p;
keyslot, N;
keystone, N;
keystone joist, h;
keystone state, |h;
keystroke, N;
keyway, N;
keyword, N;
kfmmel, N;
kfrsch, N;
kg, N;
kg-m, h;
kgf, N;
kgr, N;
kha, N;
khaddar, N;
khaki, NA;
khakilike, A;
khakis, N;
khalif, N;
khalifate, N;
khalka, |N;
khalkha, |N;
khalsa, N;
khamsin, N;
khamti, |N;
khan, N;
khanate, N;
khanda, N;
khanga, N;
khansamah, N;
khanty, |N;
kharif, N;
kharkov, |N;
khartoum, |N;
khat, N;
khatri, N;
khaya, |N;
khayal, N;
kheda, N;
khedival, A;
khedive, N;
khedivial, A;
khediviate, N;
khepera, |N;
khesari, |N;
khidmatgar, N;
khirghiz, |N;
khmer, |N;
khoikhoi, |N;
khoikhoin, |N;
khoisan, |N;
khoisan language, |h;
khoja, N;
khoum, |N;
khowar, |N;
khuen, |N;
khus-khus, N;
khuskhus, N;
khz, |N;
ki, |N;
kiaat, N;
kiabooca wood, h;
kiang, N;
kiaugh, N;
kibbitz, |V;
kibble, Nt;
kibbled, V;
kibbling, V;
kibbutz, N;
kibbutzim, p;
kibbutznik, N;
kibe, N;
kibitka, N;
kibitz, iV;
kibitzer, N;
kiblah, N;
kibosh, NtV;
kichaga, |N;
kichai, |N;
kick, tNiV;
kick about, Vti;
kick around, |V;
kick back, |V;
kick down, |V;
kick downstairs, |V;
kick in, |V;
kick in the butt, |h;
kick off, ihV;
kick one's heels, |V;
kick out, Vih;
kick plate, h;
kick pleat, h;
kick start, |h;
kick starter, h;
kick the bucket, |V;
kick turn, h;
kick up, Vh;
kick upstairs, tV;
kick-start, V;
kickable, A;
kickback, NV;
kickball, N;
kickboard, N;
kickdown, N;
kicker, N;
kicking, |N;
kicking tackle, h;
kickless, A;
kickoff, N;
kickshaw, N;
kicksorter, N;
kickstand, N;
kicktail, N;
kickup, N;
kickwheel, N;
kid, NVi;
kid glove, hA;
kid gloves, h;
kid stuff, h;
kidd, |N;
kidded, V;
kidder, N;
kiddie car, h;
kiddies, p;
kidding, NV;
kiddingly, v;
kiddishness, N;
kiddle, N;
kiddo, N;
kiddoes, p;
kiddos, p;
kiddy, N;
kidlike, A;
kidnap, V;
kidnaped, tA;
kidnaper, N;
kidnaping, t;
kidnapped, tA;
kidnapper, N;
kidnapping, tN;
kidney, N;
kidney bean, h;
kidney begonia, |h;
kidney corpuscle, h;
kidney disease, |h;
kidney failure, |h;
kidney fern, |h;
kidney machine, h;
kidney pie, |h;
kidney stone, h;
kidney vetch, h;
kidney worm, h;
kidney wort, |h;
kidney-shaped, A;
kidneylike, A;
kidneys, p;
kidneywort, N;
kids' stuff, h;
kidskin, N;
kief, N;
kielbasa, N;
kielbasas, p;
kier, N;
kieselguhr, N;
kieserite, N;
kiev, |N;
kif, N;
kigali, |N;
kiggelaria, |N;
kiggelaria africana, |h;
kike, N;
kikoi, N;
kikumon, N;
kil, N;
kildeer, |N;
kilderkin, N;
kilerg, N;
kiley, N;
kileys, p;
kilij, N;
kilimanjaro, |N;
kiliwa, |N;
kiliwi, |N;
kill, VN;
kill off, |V;
kill oneself, |V;
kill-joy, N;
kill-time, N;
killable, A;
killarney fern, |h;
killdee, N;
killdeer, N;
killdeer plover, |h;
killer, N;
killer bee, |h;
killer boat, h;
killer whale, h;
killer-diller, N;
killick, N;
killickinnic, N;
killifish, N;
killikinick, N;
killing, AN;
killing frost, h;
killingly, v;
killjoy, |N;
killock, N;
kiln, Nt;
kiln run brick, h;
kiln-dried, t;
kiln-dry, t;
kiln-drying, t;
kilo, N;
kilo-oersted, N;
kiloampere, N;
kilobar, N;
kilobaud, N;
kilobyte, |N;
kilocalorie, N;
kilocurie, N;
kilocycle, N;
kilocycle per second, |h;
kilodyne, N;
kiloelectron volt, h;
kilogauss, N;
kilograin, N;
kilogram, N;
kilogram calorie, h;
kilogram-force, N;
kilogram-meter, N;
kilohertz, N;
kilohm, N;
kilojoule, N;
kiloline, N;
kiloliter, N;
kilolitre, |N;
kilolumen, N;
kilom, N;
kilomegacycle, N;
kilometer, N;
kilometers per hour, |h;
kilometre, N;
kilometric, A;
kilometrical, A;
kilomole, N;
kiloparsec, N;
kilopoise, N;
kilopound, N;
kilos, p;
kilostere, N;
kiloton, N;
kilovar, N;
kilovar-hour, N;
kilovolt, N;
kilovolt-ampere, N;
kilovolt-ampere-hour, N;
kilowatt, N;
kilowatt hour, |h;
kilowatt-hour, N;
kilt, Nt;
kilt pleat, h;
kilted, A;
kilter, N;
kiltie, N;
kilting, N;
kiltlike, A;
kimberlite, N;
kimchi, N;
kimmer, N;
kimono, N;
kimonoed, A;
kimonos, p;
kin, NA;
kin group, |h;
kina, N;
kinaesthesia, N;
kinaesthesis, |N;
kinaesthetic, A;
kinaesthetically, |v;
kinase, N;
kinchin, N;
kinchinjunga, |N;
kincob, N;
kind, AN;
kind of, |v;
kind-hearted, A;
kinda, |v;
kindergarten, N;
kindergartner, N;
kindhearted, A;
kindheartedly, v;
kindheartedness, N;
kindjal, N;
kindle, V;
kindled, VA;
kindler, N;
kindless, A;
kindlessly, v;
kindlier, A;
kindliest, A;
kindliness, N;
kindling, N;
kindly, Av;
kindness, N;
kindred, AN;
kindredless, A;
kindredly, v;
kindredness, N;
kindredship, N;
kine, N;
kinema, N;
kinematic, A;
kinematic pair, h;
kinematic viscosity, h;
kinematical, A;
kinematically, v;
kinematics, N;
kinematograph, N;
kinematographer, N;
kinematographic, A;
kinematographical, A;
kinematographically, v;
kinematography, N;
kinescope, Nt;
kinescoped, V;
kinescoping, V;
kinesic, A;
kinesically, v;
kinesics, N;
kinesiology, N;
kinesis, |N;
kinesthesia, N;
kinesthesis, |N;
kinesthetic, A;
kinesthetically, |v;
kinesthetics, |N;
kinetic, A;
kinetic art, h;
kinetic energy, h;
kinetic potential, h;
kinetic theory, |h;
kinetic theory of gases, |h;
kinetic theory of heat, |h;
kinetically, v;
kinetics, N;
kinetograph, N;
kinetographer, N;
kinetographic, A;
kinetography, N;
kinetoplast, N;
kinetoscope, N;
kinetoscopic, A;
kinetosis, N;
kinfolk, pN;
king, Nt;
king arthur, |h;
king begonia, |h;
king bridge, h;
king charles spaniel, |h;
king closer, h;
king cobra, h;
king crab, h;
king devil, h;
king fern, |h;
king james version, |h;
king mackerel, h;
king nut, |h;
king nut hickory, |h;
king oedipus, |h;
king of beasts, h;
king of england, |h;
king of kings, h;
king of the herring, |h;
king orange, |h;
king penguin, h;
king plank, h;
king post, h;
king prawn, h;
king protea, |h;
king rail, h;
king rod, h;
king salmon, h;
king snake, h;
king truss, h;
king vulture, h;
king whiting, |h;
king william pine, |h;
king's English, h;
king's bounty, h;
king's colour, h;
king's counsel, |h;
king's english, |h;
king's evidence, h;
king's evil, h;
king's highway, h;
king's pattern, h;
king's peace, h;
king's ransom, h;
king's scout, h;
king's shilling, h;
king's spear, |h;
king's weather, h;
king's-pawn openings, h;
king-hit, NV;
king-of-arms, N;
king-of-the-herrings, p;
king-of-the-salmon, Np;
king-size, A;
king-sized, |A;
king-whiting, N;
king-whitings, p;
kingbird, N;
kingbolt, N;
kingcraft, N;
kingcup, N;
kingdom, N;
kingdom animalia, |h;
kingdom come, h;
kingdom fungi, |h;
kingdom monera, |h;
kingdom of ends, h;
kingdom of god, |h;
kingdom plantae, |h;
kingdom protoctista, |h;
kingdomless, A;
kingfish, N;
kingfisher, N;
kingfisher daisy, h;
kinghood, N;
kingless, A;
kinglessness, N;
kinglet, N;
kinglier, A;
kingliest, A;
kinglike, A;
kingliness, N;
kingly, Av;
kingmaker, N;
kingmaking, NA;
kingpin, N;
kings-of-arms, p;
kingship, N;
kingsnake, N;
kingston, |N;
kingstown, |N;
kingwood, N;
kingwood tree, |h;
kinin, N;
kink, NV;
kink up, |V;
kinkajou, N;
kinkier, A;
kinkiest, A;
kinkily, v;
kinkiness, N;
kinkle, N;
kinkled, A;
kinkly, A;
kinky, A;
kinless, A;
kinnikinnick, N;
kino, N;
kino gum, h;
kinoo, N;
kinoos, p;
kinos, p;
kinosternidae, |N;
kinosternon, |N;
kinsfolk, pN;
kinshasa, |N;
kinship, N;
kinship by marriage, |h;
kinship group, |h;
kinsman, N;
kinsmen, p;
kinsperson, |N;
kinswoman, N;
kinswomen, p;
kinyarwanda, |N;
kionectomies, p;
kionectomy, N;
kionotomies, p;
kionotomy, N;
kiosk, N;
kiotomies, p;
kiotomy, N;
kiowa, |N;
kip, NVi;
kip down, |V;
kip-ft, h;
kipling, |N;
kiplingesque, |A;
kipp's apparatus, |h;
kippen, V;
kipper, Nt;
kippered herring, |h;
kippered salmon, |h;
kipuka, N;
kirbies, p;
kirby, N;
kirghiz, |N;
kirghizia, |N;
kirghizstan, |N;
kirgiz, |N;
kirgizia, |N;
kirgizstan, |N;
kiribati, |N;
kiribati dollar, |h;
kirigami, N;
kirk, N;
kirk session, h;
kirkia, |N;
kirkia wilmsii, |h;
kirklike, A;
kirkman, N;
kirkmen, p;
kirmess, N;
kirn, tiN;
kirpan, N;
kirsch, |N;
kirschwasser, N;
kirtle, N;
kirtled, A;
kisan, N;
kish, N;
kishar, |N;
kishinev, |N;
kishke, N;
kislev, |N;
kismat, |N;
kismet, N;
kiss, tiNV;
kiss curl, h;
kiss of death, h;
kiss of life, h;
kiss of peace, h;
kiss off, th;
kiss-me-over-the-garden-gate, |N;
kiss-off, N;
kissability, N;
kissable, A;
kissableness, N;
kissably, v;
kissel, N;
kisser, N;
kissing, |N;
kissing bug, h;
kissing cousin, h;
kissing disease, |h;
kissing gate, h;
kissing gourami, h;
kissing kin, h;
kissingly, v;
kist, N;
kistvaen, N;
kiswah, N;
kiswahili, |N;
kit, NV;
kit and boodle, |h;
kit and caboodle, |h;
kit bag, h;
kit fox, h;
kit out, V;
kit up, |V;
kitakyushu, |N;
kitambilla, N;
kitbag, N;
kitchen, N;
kitchen appliance, |h;
kitchen cabinet, h;
kitchen garden, h;
kitchen gardener, h;
kitchen kaffir, h;
kitchen match, h;
kitchen midden, h;
kitchen police, p;
kitchen range, |h;
kitchen sink, h;
kitchen stove, |h;
kitchen table, |h;
kitchen tea, h;
kitchener, N;
kitchenette, N;
kitchenless, A;
kitchenmaid, N;
kitchenware, N;
kitcheny, A;
kite, NVti;
kite balloon, |h;
kite fighting, h;
kite tail, |h;
kite winder, h;
kited, V;
kitelike, A;
kitembilla, |N;
kitenge, N;
kiter, N;
kith, N;
kith and kin, h;
kithara, N;
kithe, ti;
kithed, ti;
kithing, ti;
kiting, V;
kitling, N;
kitsch, NA;
kitted, V;
kittel, N;
kitten, NV;
kitten-tails, |N;
kittenish, A;
kittenishly, v;
kittenishness, N;
kittenlike, A;
kitties, p;
kitting, V;
kittiwake, N;
kittle, AV;
kittled, V;
kittler, V;
kittlest, V;
kittling, V;
kittul, |N;
kitty, N;
kitty-cat, |N;
kitty-corner, |A;
kitty-cornered, Av;
kitul, |N;
kitul tree, |h;
kiva, N;
kiwi, N;
kiwi fruit, |h;
kiwi vine, |h;
kiwis, p;
kiyas, N;
kiyi, N;
kkk, |N;
kl, N;
klaberjass, N;
klammath weed, |h;
klan, |N;
klangfarbe, N;
klansman, |N;
klavern, N;
klavier, N;
klaxon, N;
kleagle, N;
klebsiella, N;
kleenex, |N;
kleig light, h;
klepht, N;
klephtic, A;
kleptomania, N;
kleptomaniac, N;
klesha, N;
klick, |N;
klieg eyes, h;
klieg light, h;
klinefelter's syndrome, |h;
klippe, N;
klipspringer, N;
klismoi, p;
klismos, N;
klister, N;
klondike, |N;
klong, N;
kloof, N;
klootchman, N;
kluck, itN;
klusse, N;
klutz, N;
klutzy, A;
klystron, N;
klyuchevskaya, |N;
km, N;
km/h, |N;
km/sec, h;
kmel, N;
kmole, N;
kn, N;
knack, N;
knacker, Nt;
knackery, N;
knackwurst, N;
knag, N;
knaggier, A;
knaggiest, A;
knaggy, A;
knaidel, N;
knaidlach, p;
knap, NV;
knapped, t;
knapper, N;
knapping, t;
knapsack, N;
knapsacked, A;
knapweed, N;
knar, N;
knarred, A;
knarry, A;
knave, N;
knaveries, p;
knavery, N;
knavish, A;
knavishly, v;
knavishness, N;
knawe, |N;
knawel, N;
knead, tV;
kneadability, N;
kneadable, A;
kneaded butter, h;
kneader, N;
kneadingly, v;
kneckebrud, N;
knee, NV;
knee action, h;
knee bend, h;
knee brace, h;
knee breeches, h;
knee cop, h;
knee drop, h;
knee jerk, h;
knee joint, |h;
knee pad, |h;
knee pants, |h;
knee piece, |h;
knee rafter, h;
knee-deep, Av;
knee-high, Av;
knee-jerk reflex, |h;
knee-length, A;
knee-sprung, A;
kneecap, NVt;
kneed, V;
kneehole, N;
kneeing, V;
kneel, VN;
kneeled, V;
kneeler, N;
kneeling, VNA;
kneelingly, v;
kneepad, N;
kneepan, N;
kneepiece, N;
knell, NitV;
knelt, V;
knesset, |N;
knesseth, |N;
knew, V;
knickerbockered, A;
knickerbockers, pN;
knickered, A;
knickers, pN;
knickknack, N;
knickknacked, A;
knickknackery, |N;
knickknacks, |N;
knickknacky, A;
knife, NtV;
knife acacia, h;
knife blade, |h;
knife box, h;
knife edge, h;
knife fight, |h;
knife grinder, h;
knife pleat, h;
knife switch, h;
knife thrust, |h;
knife-edged, A;
knife-point, N;
knifeless, A;
knifelike, A;
knifer, N;
kniferest, N;
knight, NtV;
knight bachelor, h;
knight banneret, h;
knight errant, h;
knight errantry, h;
knight marshal, h;
knight of the square flag, |h;
knight templar, |h;
knight's service, |h;
knight's-spur, N;
knight-errant, N;
knight-errantries, p;
knight-errantry, N;
knighthead, N;
knighthood, N;
knightia, |N;
knightless, A;
knightliness, N;
knightly, A;
knights-errant, p;
kniphofia, |N;
kniphofia praecox, |h;
kniphofia uvaria, |h;
knish, N;
knit, VN;
knit stitch, |h;
knittable, A;
knitted, A;
knitter, N;
knitting, N;
knitting machine, |h;
knitting needle, h;
knitting stitch, |h;
knitwear, N;
knitwork, |N;
knives, N;
knob, NV;
knob celery, h;
knob latch, h;
knob lock, h;
knobbed, VA;
knobbier, A;
knobbiest, A;
knobbiness, N;
knobbing, V;
knobble, tN;
knobbled, t;
knobbler, N;
knobbling, t;
knobbling roll, h;
knobbly, |A;
knobby, A;
knobcone pine, h;
knobkerrie, N;
knobkerry, |N;
knoblike, A;
knock, tiNV;
knock about, ithV;
knock against, |V;
knock back, thV;
knock cold, |V;
knock down, tAV;
knock off, Vt;
knock on, |h;
